timestamp,cnt,ax,ay,az,gx,gy,gz
13:23:54:059,4269,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
13:23:54:138,4290,3.903864,6.909278,-6.082654,0.005859,-0.019441,-0.028763
13:23:54:235,4312,3.996643,6.935016,-6.122759,0.017044,0.056727,-0.006391
13:23:54:334,4334,4.057697,6.711750,-6.098816,0.042079,0.057526,0.001864
13:23:54:388,4356,4.095406,6.601015,-5.959948,0.049003,-0.002130,-0.021838
13:23:54:479,4378,3.839818,6.560911,-6.217931,-0.017843,0.005060,0.010652
13:23:54:533,4399,3.873936,6.668055,-6.214938,-0.037818,0.092414,0.034355
13:23:54:627,4495,3.935589,6.753650,-5.962941,-0.001331,0.013049,0.017843
13:23:54:679,4593,4.097801,6.259831,-5.997059,0.016245,-0.026898,0.003462
13:23:54:774,4689,4.110371,6.757241,-5.944385,-0.000798,-0.013049,-0.004793
13:23:54:826,4737,4.227690,6.907482,-6.249057,0.022104,-0.002929,-0.018909
13:23:54:917,4834,4.067872,6.915263,-6.056317,-0.078565,0.015713,-0.008256
13:23:55:015,4882,4.169030,6.772206,-5.995263,-0.010652,0.006924,0.003195
13:23:55:233,4979,4.207339,6.753051,-6.121561,0.026632,-0.026366,-0.001864
13:23:55:288,5028,3.931399,6.416656,-6.095823,-0.048737,-0.013049,0.001065
13:23:55:293,5221,4.046922,6.537567,-6.023396,0.028230,-0.012783,0.010386
13:23:55:292,5125,4.016994,6.677033,-5.813897,-0.042878,-0.014647,-0.010386
13:23:55:294,5318,4.094209,6.587248,-6.000052,-0.039948,-0.017577,0.000266
13:23:55:355,5487,4.032557,6.742277,-6.021002,0.013848,-0.010386,-0.005060
13:23:55:361,5509,4.091815,6.673442,-6.055719,0.006924,0.006658,0.004261
13:23:55:362,5531,4.052908,6.668653,-5.938399,0.000000,-0.006125,-0.007190
13:23:55:364,5554,4.058295,6.706363,-5.954561,-0.018909,-0.023702,-0.015713
13:23:55:413,5576,3.936786,6.681223,-5.971919,-0.027431,-0.032491,-0.022637
13:23:55:422,5621,4.135511,6.887729,-5.973715,0.003994,-0.005859,-0.004793
13:23:55:420,5599,4.072062,6.791958,-5.965934,-0.029029,-0.006924,-0.030627
13:23:55:471,5643,3.952349,6.700976,-6.053325,0.003728,-0.002663,-0.005592
13:23:55:474,5665,4.098998,6.696786,-5.952765,-0.008788,0.016778,-0.017843
13:23:55:524,5687,4.161249,6.845231,-6.120364,-0.011451,0.003195,-0.016245
13:23:55:528,5709,4.073858,6.723123,-5.979102,-0.015446,-0.019974,-0.008788
13:23:55:530,5731,4.055302,6.718334,-5.966532,-0.025567,-0.005326,-0.007723
13:23:55:587,5753,4.075654,6.733897,-6.042550,-0.041280,0.006391,-0.014115
13:23:55:589,5775,4.058894,6.762628,-5.941392,-0.033823,-0.001065,-0.012250
13:23:55:641,5797,3.973298,6.839245,-5.854001,-0.021305,-0.017577,-0.041812
13:23:55:648,5841,3.939180,6.706363,-5.886324,-0.004793,-0.028496,-0.047405
13:23:55:646,5819,3.979883,6.897905,-5.890514,-0.009055,-0.035687,-0.044476
13:23:55:701,5863,4.009213,6.748861,-5.956955,-0.024235,-0.012517,-0.045275
13:23:55:705,5885,3.983474,6.800937,-6.011425,-0.021838,-0.005326,-0.059123
13:23:55:707,5907,3.946961,6.821887,-5.911464,-0.019175,-0.013582,-0.062852
13:23:55:764,5974,3.945764,6.840442,-5.944984,-0.027431,-0.039682,-0.078299
13:23:55:763,5952,3.969108,6.744671,-5.967131,-0.029029,-0.028230,-0.075369
13:23:55:759,5929,3.963123,6.742277,-5.937202,-0.014914,-0.035687,-0.067113
13:23:55:820,6018,4.011008,6.832661,-5.962342,-0.013049,-0.038883,-0.055395
13:23:55:819,5996,3.976291,6.970332,-5.946181,-0.002130,-0.067646,-0.080429
13:23:55:872,6063,3.829642,6.857202,-6.006636,-0.017843,-0.023436,-0.029295
13:23:55:870,6041,3.906259,6.909278,-6.003045,-0.014914,-0.031159,-0.045275
13:23:55:921,6129,3.975693,6.900898,-5.949772,0.008256,-0.009055,-0.011451
13:23:55:919,6107,3.945166,6.893116,-5.982693,-0.010386,0.007190,-0.024235
13:23:55:915,6085,3.893090,6.928432,-5.912661,-0.019441,-0.005592,-0.018376
13:23:55:972,6173,3.812283,6.906884,-6.041353,-0.009321,-0.027165,-0.026099
13:23:55:971,6151,3.887703,6.776396,-5.921041,0.004793,-0.026099,-0.007723
13:23:56:020,6195,3.854782,6.826675,-6.055120,-0.007457,0.003195,-0.008256
13:23:56:024,6217,3.917033,6.862589,-5.974314,-0.010919,0.000266,-0.019441
13:23:56:075,6261,3.887703,6.924242,-5.964736,-0.021305,-0.007190,-0.016778
13:23:56:077,6283,3.894287,6.949980,-5.973715,-0.019441,0.003994,-0.007723
13:23:56:071,6239,3.871542,6.824880,-5.943787,-0.015446,-0.010386,-0.011185
13:23:56:132,6305,3.939180,6.932023,-5.925231,-0.012250,0.008256,0.000266
13:23:56:133,6327,3.958334,6.847625,-5.948575,-0.009853,-0.003195,0.000000
13:23:56:181,6350,3.853585,6.802134,-5.943787,-0.017577,-0.005859,-0.011984
13:23:56:185,6372,3.970306,6.957762,-5.961145,-0.018909,-0.003195,0.001864
13:23:56:233,6393,3.836825,6.924841,-5.916252,-0.010386,-0.003728,-0.013049
13:23:56:240,6437,3.885907,6.890124,-5.910865,-0.010919,-0.011984,-0.018376
13:23:56:238,6415,3.842212,6.801535,-5.955758,-0.010652,-0.021838,-0.025300
13:23:56:289,6459,3.908653,7.003253,-5.958152,-0.010120,-0.016245,-0.023969
13:23:56:295,6481,3.864957,6.964945,-5.893507,-0.003728,-0.016512,-0.016778
13:23:56:344,6526,3.810488,6.851217,-6.067690,-0.005859,-0.013316,-0.012250
13:23:56:346,6548,3.918829,6.892518,-5.952765,-0.005326,0.006924,-0.016778
13:23:56:340,6504,3.870943,6.905088,-6.026389,-0.000798,-0.005859,-0.014115
13:23:56:397,6593,3.864359,6.988887,-5.950371,-0.013848,-0.007989,-0.008256
13:23:56:396,6570,3.870943,6.854808,-5.941991,-0.036486,0.035421,0.005326
13:23:56:446,6615,3.851190,6.924841,-6.021002,-0.017577,-0.001331,-0.002929
13:23:56:448,6637,3.930800,6.912869,-5.931217,-0.014914,-0.002396,-0.004793
13:23:56:494,6659,3.911047,6.848822,-5.902485,-0.012250,-0.002130,-0.006125
13:23:56:498,6681,3.909252,6.867378,-5.931815,-0.010919,-0.013582,-0.018909
13:23:56:547,6703,3.865556,6.991880,-5.941392,-0.011451,-0.021305,-0.007989
13:23:56:551,6725,3.829043,6.896708,-5.868367,-0.009587,-0.013316,-0.009853
13:23:56:552,6747,3.928406,6.867378,-5.968328,-0.005060,-0.011984,-0.007190
13:23:56:600,6769,3.960130,6.893715,-5.904281,-0.006658,-0.009587,-0.016245
13:23:56:605,6791,3.863760,6.873364,-5.892310,-0.010652,-0.021838,-0.018376
13:23:56:654,6813,3.864359,6.942199,-5.976708,-0.009055,-0.005859,-0.016245
13:23:56:658,6835,3.940976,6.914066,-5.954561,-0.018110,0.014381,-0.008256
13:23:56:660,6857,3.953546,6.936213,-6.010826,-0.007190,-0.004793,-0.004793
13:23:56:704,6879,3.832635,6.847027,-5.937801,-0.004261,-0.013582,-0.011185
13:23:56:712,6901,3.924814,6.833260,-6.006636,-0.008522,-0.009055,-0.014381
13:23:56:759,6924,3.891893,6.918256,-5.942589,-0.015446,0.004527,-0.006125
13:23:56:763,6946,3.988861,7.006246,-5.996461,-0.004793,-0.006658,-0.005859
13:23:56:765,6968,3.799713,6.898504,-5.962342,-0.007723,-0.025833,0.001331
13:23:56:817,6991,3.864359,6.898504,-5.984489,-0.024768,-0.011451,-0.002663
13:23:56:819,7013,3.839219,6.968536,-6.013220,-0.024235,-0.006924,-0.002929
13:23:56:867,7035,3.928406,6.905088,-5.936005,-0.018376,-0.003994,-0.002396
13:23:56:871,7057,3.971503,6.866779,-5.907274,-0.003462,-0.019441,-0.015446
13:23:56:917,7079,3.833233,6.871568,-5.986285,-0.006125,-0.024501,-0.016778
13:23:56:921,7101,3.875133,6.914665,-5.921041,-0.004527,-0.007989,-0.016512
13:23:56:922,7123,3.853585,6.946389,-5.970722,0.000266,-0.006658,-0.003195
13:23:56:972,7145,3.882915,6.888926,-5.916851,-0.012517,-0.001331,-0.010386
13:23:57:019,7167,3.942771,6.889525,-5.910865,-0.008522,0.002396,-0.010652
13:23:57:020,7189,3.991854,6.949382,-5.937801,-0.007989,-0.009587,-0.008522
13:23:57:023,7211,3.818269,6.942199,-5.943787,-0.011185,-0.009321,-0.009321
13:23:57:069,7233,3.870345,6.979310,-5.903084,-0.015713,-0.011185,-0.007457
13:23:57:074,7256,3.905062,7.014626,-5.924632,-0.010120,-0.003994,0.000798
13:23:57:118,7278,3.841015,6.826675,-5.930019,-0.009055,-0.002929,0.006125
13:23:57:123,7300,3.845205,6.920651,-5.983292,-0.006125,-0.019707,-0.011718
13:23:57:129,7322,3.820065,6.982303,-5.978503,-0.010652,-0.004793,0.004793
13:23:57:183,7366,3.958933,6.821288,-5.874353,0.001065,-0.019441,0.019175
13:23:57:181,7344,3.782355,6.981106,-5.879141,-0.011984,-0.026366,-0.023436
13:23:57:233,7388,3.865556,6.908679,-5.883930,-0.006391,-0.010386,-0.015446
13:23:57:243,7432,3.909252,6.982902,-5.931217,0.001331,0.003728,0.002130
13:23:57:242,7411,3.858972,6.916461,-5.944385,-0.000532,-0.011185,-0.001065
13:23:57:309,7455,3.787742,6.873364,-6.000651,-0.014381,0.002130,0.003195
13:23:57:312,7479,3.882316,6.908081,-5.979701,-0.011984,-0.005060,-0.022903
